Region,Sub-Category,Avg_Daily_Demand,Current_Inventory,Velocity_Class,Unit_Margin,Holding_Cost_Rate,Lead_Time,Reorder_Point,Reorder_Status,Sales_Frequency,Total_Sales,Total_Profit
East,Mops,3.481380065717415,28,A,670.6549362907031,90.3,2,14,False,1154,28701367.13,4263353.43
East,Milk,3.4052573932092005,27,A,663.548633000965,88.9,2,14,False,1103,27638234.72,4125945.4
East,Pizzas,3.3734939759036147,27,A,682.3572045454546,91.05,2,14,False,1093,28042193.06,4203320.38
North,Tomatoes,3.3461117196056955,27,A,630.80741898527,84.89,2,14,False,1052,25932765.51,3854233.33
East,Sofas,3.340635268346112,27,A,684.6881327868853,91.3,2,14,False,1112,27845368.04,4176597.61
North,Burgers,3.2897042716319826,26,A,666.870003329449,90.08,2,14,False,1083,27055607.23,4005888.11
South,Utensils,3.281489594742607,26,A,675.94576435247,90.27,2,14,False,1060,27043517.71,4050267.02
North,Mops,3.2787513691128147,26,A,691.8723383998664,92.0,2,14,False,1095,27540385.5,4142239.69
North,Fries,3.277656078860898,26,A,656.9773734335839,88.87,2,14,False,1080,26595023.15,3932009.58
North,Microwaves,3.2579408543263964,26,A,700.233590519415,93.41,2,14,False,1094,27785480.52,4165689.63
South,Mops,3.2541073384446877,26,A,675.3578357455402,90.7,2,14,False,1085,26947420.35,4012976.26
West,Refrigerators,3.2541073384446877,26,A,677.6932463816896,91.33,2,14,False,1079,27134794.12,4026853.27
East,Apples,3.251369112814896,26,A,644.988713154792,88.08,2,14,False,1078,26146554.26,3829297.99
North,Refrigerators,3.2491785323110625,26,A,663.4323428282488,88.57,2,12,False,1053,26274146.17,3936144.09
North,Butter,3.2475355969331874,26,A,668.6385699831367,86.96,2,12,False,1060,25783135.12,3965026.72
South,Butter,3.2442497261774372,26,A,691.3954118838623,91.6,2,12,False,1084,27132887.88,4095826.42
East,Washing Machines,3.2393209200438116,26,A,686.3384852071006,91.76,2,12,False,1053,27137124.79,4059692.14
North,Carrots,3.237130339539978,26,A,682.6456166469295,91.69,2,12,False,1064,27099676.6,4035118.24
West,Mops,3.233844468784228,26,A,673.4861405588484,89.35,2,12,False,1063,26379354.2,3976935.66
North,Cheese,3.2289156626506026,48,B,660.1696930122116,89.36,4,19,False,1043,26343873.84,3892360.51
East,Carrots,3.2228915662650603,48,B,693.897486830926,92.8,4,19,False,1069,27306584.87,4083586.71
East,Fries,3.2196056955093098,48,B,700.0096087770029,92.55,4,19,False,1070,27204029.45,4115356.49
South,Apples,3.2190580503833517,48,B,670.5348792106158,88.71,4,19,False,1056,26071612.62,3941404.02
South,Buckets,3.2163198247535596,48,B,661.6901481355355,88.45,4,19,False,1049,25972722.49,3886106.24
North,Pizzas,3.215224534501643,48,B,662.6728410832908,88.31,4,19,False,1051,25923255.919999998,3890552.25
North,Beds,3.200985761226725,48,B,655.1204807527802,89.85,4,19,False,1049,26259921.55,3829179.21
South,Carrots,3.1971522453450163,48,B,717.5365810208975,95.58,4,19,False,1072,27900823.36,4188978.56
South,Detergents,3.1900328587075575,48,B,686.6407296137339,91.95,4,19,False,1048,26781675.35,3999682.25
West,Microwaves,3.1834611171960567,48,B,689.780368140375,89.84,4,19,False,1037,26111619.62,4009693.28
North,Tables,3.1785323110624315,48,B,667.2851843556168,89.28,4,19,False,1055,25908476.38,3872923.21
South,Microwaves,3.1768893756845564,48,B,691.5841958283055,90.37,4,19,False,1058,26211152.04,4011879.92
North,Yogurt,3.1768893756845564,48,B,690.3665195655922,92.12,4,19,False,1042,26720665.81,4004816.18
South,Pizzas,3.1626506024096384,47,B,666.6643861471862,90.53,4,19,False,1056,26141745.35,3849986.83
East,Microwaves,3.1621029572836803,47,B,674.7907880152407,89.02,4,19,False,1028,25699699.89,3896242.01
West,Milk,3.159364731653888,47,B,685.8210036401456,91.14,4,19,False,1068,26289007.74,3956501.37
West,Sandwiches,3.1538882803943045,47,B,682.5269803785379,89.47,4,19,False,1051,25763908.29,3930672.88
North,Sofas,3.151697699890471,47,B,678.5886863596872,91.77,4,19,False,1042,26405450.14,3905277.89
South,Fans,3.1511500547645124,47,B,698.9422627737226,93.36,4,19,False,1058,26860751.57,4021713.78
North,Detergents,3.1484118291347207,47,B,666.7109114628631,89.93,4,19,False,1038,25850911.6,3832921.03
South,Refrigerators,3.1478641840087622,47,B,684.620577592206,92.14,4,19,False,1035,26481498.45,3935199.08
South,Sandwiches,3.146221248630887,47,B,715.8022819843342,93.47,4,19,False,1044,26849851.38,4112284.11
East,Utensils,3.1451259583789706,47,B,714.6904579488072,94.95,4,19,False,1045,27263872.31,4104467.3
South,Tables,3.1451259583789706,47,B,693.209111962389,93.58,4,19,False,1062,26871246.51,3981099.93
